match_id,home_big_chances_scored,away_big_chances_scored,home_offsides,away_offsides,home_big_chances_missed,away_big_chances_missed,home_through_balls,away_through_balls,home_touches_in_penalty_area,away_touches_in_penalty_area,home_fouled_in_final_third,away_fouled_in_final_third
12437045,1,1,2,1,0,2,1,0,31,24,0,2
12437046,1,0,4,1,0,2,,,24,25,3,1
12437050,2,1,3,3,2,4,0,3,30,33,2,3
12437040,2,2,2,1,,,0,1,33,27,3,2
12437618,3,0,2,2,,,1,0,12,24,2,0
12437607,1,1,3,3,4,0,,,30,8,6,1
12437613,,,3,1,4,1,1,0,31,24,1,1
12437625,,,5,0,2,1,,,39,14,5,1
12437611,,,1,4,1,0,,,10,30,0,1
12499340,3,0,1,0,2,0,,,39,15,0,1
12499341,1,0,0,1,0,1,1,0,22,13,3,2
12499339,2,2,,,1,1,2,1,28,21,4,1
12499338,4,0,2,2,1,0,,,29,23,2,3
12499737,0,2,3,3,1,4,1,4,7,37,1,5
12499734,1,1,4,1,3,0,,,16,15,0,3
12499720,,,,,3,3,,,20,14,3,1
12451054,2,1,2,4,2,1,2,0,35,22,5,2
12451055,0,3,0,1,0,2,0,3,7,35,3,1
12451051,1,1,2,1,2,0,4,1,39,24,1,2
12451056,3,0,0,2,0,1,,,20,24,5,1
12451053,0,2,2,8,1,5,0,2,9,38,1,2
12514052,2,0,2,2,2,0,,,41,7,4,1
12514051,2,0,5,3,2,0,2,0,65,2,2,1
12514055,2,1,1,2,0,2,,,14,24,1,5
12514057,0,4,,,0,1,0,3,13,33,0,3
12448395,1,0,2,4,1,1,,,32,15,2,1
12448396,1,0,1,1,3,1,1,0,21,5,2,2
12448394,1,2,,,,,,,26,16,3,0
12117282,0,1,1,5,0,1,,,15,14,1,3
12117278,2,1,2,0,1,4,0,1,19,18,2,3
12530882,1,2,1,4,1,0,0,2,20,20,2,2
12530878,2,0,0,2,2,0,2,0,35,11,0,1
12530874,1,1,1,0,2,0,,,35,12,3,3
12530880,1,0,1,3,2,1,3,1,27,15,5,3
12421106,2,1,5,1,3,1,1,0,38,11,2,1
12421110,3,0,1,2,1,0,,,20,27,1,3
12421108,0,2,0,2,2,1,,,16,28,3,4
12421107,1,2,2,2,3,1,0,1,37,23,3,0
12568248,1,0,1,4,3,2,1,0,13,40,1,3
12568249,1,0,0,1,1,0,3,0,36,12,6,1
12568234,0,1,4,6,2,1,1,0,37,19,6,2
12568235,0,1,2,1,2,1,0,2,15,21,2,5
12477081,1,1,3,1,3,1,0,2,19,29,3,3
12477080,0,2,5,1,0,1,0,1,16,34,2,1
12477079,2,1,2,3,2,1,0,1,30,21,3,1
11937370,2,0,0,2,,,,,14,29,1,2
11937373,2,1,1,4,1,1,,,10,15,2,1
11937368,1,1,3,1,5,2,1,1,36,8,2,3
11937367,,,1,0,6,0,1,0,46,11,2,2
11937369,1,0,2,3,2,1,,,24,13,1,1
11937364,1,0,4,0,1,3,,,18,23,4,2
11937363,,,4,1,1,1,0,2,21,19,2,4
12420572,0,2,4,1,0,2,1,0,30,22,4,1
12420577,1,4,2,0,0,2,,,15,27,3,3
12420575,1,0,2,2,3,2,,,33,18,0,2
12404865,2,1,1,1,3,0,4,2,30,11,2,2
12404864,,,0,2,0,1,1,0,18,27,4,1
12420443,0,2,8,2,2,2,0,1,11,23,4,3
12420434,1,1,1,1,1,0,,,25,8,2,1
13010882,,,4,0,2,2,1,0,40,20,1,3
13022403,1,0,1,2,1,1,0,1,23,18,6,3
13010885,1,0,4,1,5,0,1,0,36,18,2,3
13010890,,,1,0,1,1,1,1,39,11,4,2
12468905,0,3,2,1,2,2,4,0,21,38,1,6
12467660,1,0,2,1,1,0,,,20,29,3,1
12467662,0,2,6,2,3,2,1,2,28,22,1,2
12467655,1,0,3,1,1,0,,,45,7,1,1
12617262,3,0,3,1,2,2,1,0,42,16,2,1
12467661,2,1,2,0,0,2,,,10,27,3,2
12467658,1,1,2,3,2,2,0,4,25,20,5,2
12467664,0,1,5,0,1,1,,,11,11,3,2
12500376,0,1,1,1,2,0,1,1,32,21,3,1
12500363,0,1,1,0,0,1,0,1,26,13,4,0
12500379,,,0,1,,,1,0,20,15,1,1
12527732,2,0,,,0,1,1,0,11,22,2,3
12527736,,,1,1,,,,,15,29,2,4
12527738,,,6,0,,,,,31,12,2,2
12146528,2,0,1,0,1,0,,,14,19,3,3
12146523,0,2,,,,,0,1,11,24,1,2
12146524,1,1,4,1,,,1,0,16,19,1,4
12445047,0,1,2,1,2,2,1,1,26,24,2,2
12596621,0,1,3,2,4,0,,,23,12,1,2
12596615,4,0,2,2,2,0,4,0,16,9,2,0
12596618,1,1,2,1,2,2,2,2,27,23,,
12596617,0,1,5,1,1,0,,,31,10,1,1
12481094,0,1,2,3,0,4,0,1,19,30,0,3
12481098,,,0,1,0,1,0,1,15,21,2,2
12481103,0,2,,,1,1,0,1,11,19,3,1
12463967,2,1,3,1,3,3,1,1,18,38,1,0
12463970,,,0,2,,,0,1,21,15,,
13012918,2,2,3,1,2,0,1,1,43,6,3,1
13011712,0,1,4,1,1,0,1,0,16,8,3,3
13011728,1,0,2,1,2,0,0,1,12,23,4,1
13011718,,,0,1,0,1,,,14,26,2,4
12580708,0,2,1,1,,,,,25,12,3,3
12580604,1,1,1,0,1,0,,,27,30,1,0
12580707,2,0,3,2,2,0,,,35,8,3,0
12580607,1,0,3,2,0,1,,,18,16,2,2
12402296,1,1,2,1,1,0,,,12,24,1,0
12402294,0,1,2,7,1,4,,,18,31,2,2
12402304,2,1,3,3,4,0,0,1,63,15,,
12407828,1,0,1,1,4,0,2,0,24,34,2,3
12407829,3,1,1,4,2,0,1,0,11,33,1,2
12407826,2,0,1,1,,,,,21,17,2,3
12407827,3,0,3,1,1,1,,,27,25,1,1
12656652,,,3,2,1,2,1,0,32,22,1,1
12991466,,,2,2,,,0,1,6,13,1,6
12991503,2,1,3,3,,,1,0,27,16,3,3
12014196,0,1,2,1,,,,,26,27,1,4
12014204,0,1,3,1,1,1,,,25,22,1,0
12014199,4,0,1,1,4,0,1,1,34,10,4,1
12014195,0,3,0,2,,,,,4,21,3,4
12744968,1,1,1,0,4,0,,,30,12,3,1
11928436,,,2,3,0,3,,,14,27,3,5
13016164,,,2,2,,,0,0,26,11,,
13016167,,,2,1,,,1,1,15,3,,
11912251,1,0,2,3,1,2,,,28,10,2,1
11912259,0,2,0,2,2,2,,,28,45,1,4
11912260,1,0,1,0,1,1,,,37,12,0,1
11912233,2,0,,,2,0,,,24,14,1,1
11912235,0,1,2,3,3,1,,,18,24,3,5
11912258,2,0,2,2,2,2,0,2,42,18,4,2
11912257,2,1,1,0,5,0,0,1,47,24,2,1
12831490,1,1,1,0,,,,,9,19,2,4
12831480,0,8,0,8,,,,,6,36,1,2
12831494,2,0,1,3,,,,,11,27,1,0
12831492,,,4,2,1,0,,,31,7,3,0
12831481,,,3,2,,,,,14,10,2,1
12831498,,,1,1,,,,,14,21,0,5
12831500,0,1,2,1,,,,,14,9,0,1
12489710,0,2,0,2,2,1,0,2,21,20,2,3
12489715,,,1,1,4,3,1,0,32,17,6,2
12489714,0,1,0,3,,,,,10,34,0,6
12489713,2,1,0,2,1,1,2,0,7,46,5,7
11907444,1,1,3,1,2,2,1,1,14,15,5,2
11907450,1,2,2,4,1,0,,,30,8,3,2
11907447,0,1,1,0,2,1,,,38,18,1,4
11907445,,,2,3,2,2,,,34,25,2,2
11907446,,,1,2,1,0,,,40,12,2,0
12439860,2,0,3,2,1,2,2,0,21,24,2,2
12439861,1,0,4,0,1,2,1,0,22,22,2,2
12439858,,,0,1,0,2,0,1,24,25,4,3
12662014,,,1,0,1,0,,,28,12,2,1
12662012,,,3,1,1,0,,,14,9,4,3
13022369,1,1,0,1,1,0,,,18,8,2,5
13008825,0,1,2,0,3,2,,,30,18,2,1
12453008,1,3,1,2,2,2,,,41,48,,
12453110,1,0,1,0,2,1,1,0,28,21,1,0
12453112,,,2,3,1,0,0,1,17,22,4,0
12065761,,,0,1,,,1,0,14,13,,
12065762,,,2,4,,,1,2,15,15,,
12065760,,,1,0,,,0,1,20,5,,
12776232,,,0,2,1,5,2,2,26,31,2,3
12773388,3,0,1,0,3,1,3,3,27,18,2,2
12773385,1,1,2,1,3,0,4,0,17,23,2,1
12497536,1,0,,,,,2,0,22,10,3,3
12765324,3,3,1,1,0,1,2,0,17,35,3,2
12765325,2,0,0,1,,,,,14,14,8,2
12448681,1,2,4,6,2,2,,,14,24,1,3
12448692,,,6,1,0,2,1,0,41,33,1,2
13011670,,,5,2,,,0,1,21,26,2,4
12448762,1,1,3,0,1,1,,,24,6,5,1
12448764,1,0,1,2,3,0,,,36,16,4,1
12448767,0,1,1,3,0,5,0,2,10,39,2,1
12449217,1,0,2,0,0,4,,,31,48,1,4
12449215,0,1,1,2,3,1,1,1,28,35,4,2
11973094,,,2,1,,,5,4,19,2,,
11973085,,,4,6,,,2,0,13,17,,
11973088,,,2,1,,,0,3,8,15,,
11973103,,,1,0,,,0,0,21,7,,
11973090,,,4,0,,,5,1,15,15,,
11973091,,,3,3,,,1,0,21,8,,
11973086,,,1,4,,,0,1,14,8,,
11973093,,,1,2,,,2,1,,,,
11973087,,,1,1,,,1,0,10,11,,
11973092,,,2,1,,,2,5,18,15,,
12586168,,,4,0,,,3,1,21,14,,
12586173,,,2,4,,,4,1,40,7,,
12753021,1,0,2,1,,,1,0,20,12,2,2
12753032,1,1,2,0,,,,,23,7,6,0
12753017,2,1,2,4,1,0,,,33,16,2,0
12753012,0,2,2,0,,,,,23,15,2,2
13019034,,,4,3,,,0,0,15,21,,
13019043,,,0,0,,,1,2,11,21,,
12425088,,,1,3,,,2,0,18,17,,
13029521,,,2,1,,,2,1,19,10,,
13041742,,,2,2,,,1,1,6,12,,
12447865,,,2,1,,,0,2,13,20,,
12447858,,,0,0,,,3,1,14,14,,
12497309,,,0,5,,,0,1,4,12,,
12497312,,,0,5,,,0,1,6,24,,
12497319,,,2,1,,,1,1,5,20,,
12497311,,,0,2,,,0,2,10,26,,
12497305,,,0,1,,,1,1,25,4,,
12451610,,,0,3,,,4,2,16,19,,
12442027,,,1,0,,,1,4,19,24,,
12463379,,,1,4,,,1,0,19,8,,
11990387,,,1,1,,,4,3,27,20,,
13008765,,,3,1,,,1,0,32,3,,
11989125,,,1,3,,,1,1,14,11,,
11989123,,,3,0,,,0,3,5,16,,
11989126,,,0,3,,,1,0,8,13,,
12525926,,,0,5,,,3,2,11,22,,
12525929,,,2,4,,,1,2,18,15,,
12525932,,,2,1,,,2,1,19,23,,
12868396,,,2,4,,,3,2,15,15,,
12650996,,,1,0,,,0,1,17,14,,
12651004,,,0,0,,,0,4,12,9,,
12598357,,,1,3,,,2,2,,,,
12598360,,,2,0,,,0,0,,,,
12598355,,,3,2,,,0,1,,,,
12177173,,,0,2,,,0,0,15,8,,
12177177,,,1,4,,,2,3,20,19,,
12085473,,,4,0,,,3,0,46,6,,
12085469,,,0,0,,,0,0,4,37,,
12444644,,,3,1,,,9,2,9,12,,
12444645,,,4,0,,,0,0,19,16,,
12444663,,,1,0,,,2,0,32,7,,
12963363,,,1,2,,,0,0,5,15,,
12963291,,,3,0,,,3,0,19,16,,
12590279,,,1,2,,,4,0,12,18,,
12590273,,,0,6,,,4,5,13,23,,
12531981,,,3,4,,,0,7,3,30,,
12531969,,,1,2,,,1,0,21,5,,
12969196,,,1,3,,,3,2,10,18,,
12472158,,,1,4,,,0,1,11,12,,
12448838,,,1,3,,,0,0,19,14,,
12448841,,,0,0,,,1,5,19,14,,
12448840,,,1,2,,,3,0,28,16,,
12518422,1,1,2,1,0,1,,,33,14,7,3
12518425,3,0,6,2,1,0,1,0,13,16,0,1
12518416,,,3,2,1,1,1,0,11,9,5,2
13019039,0,1,7,1,0,4,2,1,27,29,2,2
12923109,1,0,3,2,2,0,2,0,33,6,2,1
12923104,1,2,1,1,4,3,0,1,12,28,0,2
12246983,,,1,5,,,0,1,7,33,,
12246985,,,1,3,,,0,2,15,12,,
12484257,,,0,0,,,0,1,10,24,,
12484258,,,0,1,,,2,0,15,28,,
12484255,,,0,0,,,1,1,22,4,,
12196916,,,1,3,,,1,2,22,16,,
12196973,,,1,1,,,3,1,27,14,,
12199061,,,0,2,,,0,0,17,12,,
12442133,,,3,0,,,1,0,28,13,,
12442134,,,2,0,,,4,0,24,11,,
12484433,,,1,2,,,1,0,12,7,,
12484437,,,1,0,,,0,1,14,22,,
13014309,1,0,1,0,2,2,,,14,15,3,4
13014303,,,1,1,,,,,13,16,3,3
12694137,,,2,1,,,0,1,,,,
12694134,,,1,1,,,6,0,,,,
12698547,,,2,1,,,2,0,,,,
12454752,,,2,3,,,0,0,7,35,,
12454757,,,6,1,,,3,1,29,15,,
12650088,2,0,5,1,,,1,0,29,4,9,1
13023005,,,,,3,1,1,0,11,14,1,2
13006575,1,1,3,1,4,0,0,1,39,13,5,1
12437611,,,1,4,1,0,,,10,30,0,1
12499348,,,1,1,2,1,,,17,19,3,4
12499354,1,0,2,0,1,0,1,0,21,3,8,1
12499355,0,1,3,2,1,0,0,1,30,16,2,2
12900855,2,0,0,2,2,1,,,28,20,3,2
12970179,0,4,,,1,0,0,1,4,42,2,5
12970160,,,5,4,0,2,0,1,16,21,3,3
12970153,1,3,1,4,0,2,0,1,2,40,1,3
12970192,0,4,2,0,2,0,,,13,26,3,5
12970193,0,1,0,5,0,1,,,6,29,1,2
12970166,3,2,6,3,,,0,2,11,28,1,5
12970187,0,3,1,2,1,0,1,1,13,25,1,0
12375376,,,0,2,2,0,,,47,5,4,0
12514057,0,4,,,0,1,0,3,13,33,0,3
12117282,0,1,1,5,0,1,,,15,14,1,3
12117278,2,1,2,0,1,4,0,1,19,18,2,3
12530874,1,1,1,0,2,0,,,35,12,3,3
12530880,1,0,1,3,2,1,3,1,27,15,5,3
12904468,2,2,4,0,,,,,32,15,4,0
12904463,1,0,2,3,2,0,,,35,9,2,0
12773665,2,0,2,3,2,1,2,1,18,19,2,2
12773646,1,0,2,5,0,1,,,23,17,1,1
12773642,0,1,4,1,1,0,,,10,26,3,2
12791854,3,1,2,1,,,0,1,18,29,,
12773671,2,0,5,0,,,,,20,23,2,6
12791853,,,0,3,1,1,0,1,8,33,2,3
12773663,1,1,2,3,5,1,,,49,17,3,2
12773652,,,2,1,1,2,0,1,27,21,4,3
12924425,1,3,2,3,3,0,,,32,20,3,4
12924407,1,3,3,3,0,1,,,23,17,5,3
12924421,2,1,1,1,,,,,32,13,2,4
12924416,0,3,1,6,1,1,,,12,30,2,2
12924418,,,5,1,2,3,1,0,34,23,2,3
12924429,0,3,2,3,1,2,,,15,20,2,3
12924410,1,4,1,8,0,1,0,1,7,39,1,5
12924422,3,1,1,2,4,0,,,34,10,5,1
12924424,2,0,1,6,0,3,0,2,16,51,1,2
12924420,0,1,0,3,0,2,,,17,20,2,4
11937364,1,0,4,0,1,3,,,18,23,4,2
11937363,,,4,1,1,1,0,2,21,19,2,4
13010885,1,0,4,1,5,0,1,0,36,18,2,3
13010890,,,1,0,1,1,1,1,39,11,4,2
13010881,,,4,2,4,0,,,27,20,2,2
13010887,,,2,1,5,3,2,0,17,18,1,1
12467664,0,1,5,0,1,1,,,11,11,3,2
12527741,,,6,1,1,2,0,1,21,20,3,0
