match_id,home_big_chances_scored,away_big_chances_scored,home_offsides,away_offsides,home_big_chances_missed,away_big_chances_missed,home_through_balls,away_through_balls,home_touches_in_penalty_area,away_touches_in_penalty_area,home_fouled_in_final_third,away_fouled_in_final_third
12527866,0,1,3,3,,,,,10,19,2,2
12527868,0,1,0,2,4,0,2,0,25,27,3,1
12527870,1,2,1,0,0,1,,,31,17,1,2
12527872,,,4,1,1,1,1,0,19,14,2,2
12527873,,,0,5,1,0,,,19,20,4,2
12451237,,,0,2,2,2,1,0,15,21,2,2
12451239,1,0,0,2,1,0,1,0,32,18,4,2
12451236,0,3,2,1,0,4,0,1,16,27,3,4
12451241,,,5,0,2,3,,,15,30,0,3
12451240,,,3,0,1,0,,,19,8,4,2
12451242,3,1,9,0,2,0,3,0,28,17,6,0
12451244,,,0,3,0,1,1,0,6,32,0,1
12451245,0,2,1,0,,,1,0,32,17,1,4
12615585,3,0,,,2,0,,,25,16,3,1
12146528,2,0,1,0,1,0,,,14,19,3,3
12146523,0,2,,,,,0,1,11,24,1,2
12146524,1,1,4,1,,,1,0,16,19,1,4
12146527,0,1,0,1,,,,,20,8,3,3
12146520,2,0,3,2,1,0,,,32,13,2,1
12988222,,,3,0,2,0,0,2,27,5,3,3
12146521,0,1,0,2,,,,,12,8,4,0
12596617,0,1,5,1,1,0,,,31,10,1,1
12463967,2,1,3,1,3,3,1,1,18,38,1,0
12463970,,,0,2,,,0,1,21,15,,
13012918,2,2,3,1,2,0,1,1,43,6,3,1
13036742,1,0,6,6,,,,,10,12,5,3
13031655,3,1,3,0,2,0,,,12,16,3,5
13011717,1,0,0,2,,,,,25,15,3,0
12407827,3,0,3,1,1,1,,,27,25,1,1
12656652,,,3,2,1,2,1,0,32,22,1,1
12902951,1,0,,,1,1,,,21,12,1,0
13036931,0,3,2,0,1,1,,,33,13,3,3
12769312,3,1,3,3,1,0,,,31,10,6,2
12902952,2,1,2,2,2,1,1,0,29,14,1,1
12991503,2,1,3,3,,,1,0,27,16,3,3
12014195,0,3,0,2,,,,,4,21,3,4
13016164,,,2,2,,,0,0,26,11,,
13016167,,,2,1,,,1,1,15,3,,
12004432,,,1,4,1,1,0,1,20,14,2,0
11912257,2,1,1,0,5,0,0,1,47,24,2,1
12831481,,,3,2,,,,,14,10,2,1
12831498,,,1,1,,,,,14,21,0,5
12831500,0,1,2,1,,,,,14,9,0,1
12489714,0,1,0,3,,,,,10,34,0,6
12489713,2,1,0,2,1,1,2,0,7,46,5,7
11907445,,,2,3,2,2,,,34,25,2,2
11907446,,,1,2,1,0,,,40,12,2,0
12440987,0,1,,,1,0,,,13,38,1,3
12662005,1,0,5,0,3,1,,,15,20,4,5
12662007,1,0,1,3,2,0,,,12,15,1,2
12662008,,,3,0,,,,,14,9,2,2
12453112,,,2,3,1,0,0,1,17,22,4,0
12504046,,,2,1,1,3,,,28,33,2,2
12503884,0,1,3,5,1,3,1,1,20,57,2,0
13037267,1,0,0,1,1,1,0,1,21,21,4,2
12503862,1,0,2,0,1,6,1,0,17,21,1,6
12503971,4,0,6,0,0,1,,,51,13,0,1
12503855,0,1,3,2,1,1,,,23,14,0,1
12680611,2,0,1,4,1,3,1,0,29,27,0,2
12503937,1,3,1,0,,,,,22,19,3,2
12503820,3,1,7,0,1,0,,,22,25,2,3
12065761,,,0,1,,,1,0,14,13,,
12065762,,,2,4,,,1,2,15,15,,
12065760,,,1,0,,,0,1,20,5,,
12065773,,,3,1,,,1,0,12,15,,
12065763,,,1,3,,,2,2,16,13,,
12065767,,,1,0,,,10,4,25,16,,
12735448,1,0,,,,,,,22,4,3,0
12610363,2,0,1,0,,,,,14,17,1,7
12940698,0,2,5,1,,,0,1,33,17,3,0
12903507,,,2,5,,,0,2,12,27,,
12868606,,,2,1,,,0,0,9,17,,
12753012,0,2,2,0,,,,,23,15,2,2
12753024,0,1,1,1,,,,,15,19,6,3
12753036,0,2,1,2,,,,,19,19,1,2
13019043,,,0,0,,,1,2,11,21,,
12425088,,,1,3,,,2,0,18,17,,
13008779,,,2,1,,,,,27,11,6,1
13019046,,,2,3,,,,,21,16,2,3
13029521,,,2,1,,,2,1,19,10,,
13041742,,,2,2,,,1,1,6,12,,
12497319,,,2,1,,,1,1,5,20,,
12497311,,,0,2,,,0,2,10,26,,
12497305,,,0,1,,,1,1,25,4,,
11989123,,,3,0,,,0,3,5,16,,
11989126,,,0,3,,,1,0,8,13,,
12651004,,,0,0,,,0,4,12,9,,
12598355,,,3,2,,,0,1,,,,
12085469,,,0,0,,,0,0,4,37,,
12963291,,,3,0,,,3,0,19,16,,
13023452,,,3,3,,,0,1,8,11,,
12448840,,,1,2,,,3,0,28,16,,
12518416,,,3,2,1,1,1,0,11,9,5,2
12522419,1,0,0,2,1,1,,,43,12,5,0
13019039,0,1,7,1,0,4,2,1,27,29,2,2
12923109,1,0,3,2,2,0,2,0,33,6,2,1
12923104,1,2,1,1,4,3,0,1,12,28,0,2
12923103,0,1,0,1,3,1,4,1,32,17,2,0
12923107,0,2,3,5,0,1,1,1,36,33,2,0
12923108,1,0,3,0,2,1,1,1,18,11,3,1
12923105,0,1,3,1,2,0,1,1,31,8,5,1
12473120,,,0,1,,,0,1,16,12,,
12473122,,,1,1,,,1,1,13,13,,
12473125,,,0,1,,,0,1,17,9,,
12246985,,,1,3,,,0,2,15,12,,
12199061,,,0,2,,,0,0,17,12,,
12767356,,,1,0,,,1,0,14,14,,
12767360,,,2,0,,,1,0,5,15,,
12767375,,,0,0,,,1,1,17,13,,
12767362,,,0,1,,,1,0,17,25,,
12767354,,,1,3,,,0,0,24,35,,
13014313,1,0,1,0,,,,,14,3,3,2
13014305,1,0,3,1,,,,,17,4,2,3
13023005,,,,,3,1,1,0,11,14,1,2
13006575,1,1,3,1,4,0,0,1,39,13,5,1
13005422,1,2,2,1,,,0,1,9,21,1,3
13005420,,,1,3,0,3,0,1,14,62,0,1
13006576,1,1,1,2,0,1,1,0,24,11,4,1
13005427,1,1,2,0,,,,,9,24,2,1
13045718,2,1,0,1,,,,,35,24,3,5
13009004,2,0,2,1,1,0,1,0,,,3,0
12499348,,,1,1,2,1,,,17,19,3,4
12499354,1,0,2,0,1,0,1,0,21,3,8,1
12499355,0,1,3,2,1,0,0,1,30,16,2,2
12499350,0,1,3,1,0,3,0,3,10,37,2,4
12499357,2,0,3,0,0,1,,,22,22,4,1
12499347,,,0,1,3,0,0,1,33,4,3,1
12499353,2,1,3,2,3,2,0,4,39,24,0,1
12900855,2,0,0,2,2,1,,,28,20,3,2
12970179,0,4,,,1,0,0,1,4,42,2,5
12970160,,,5,4,0,2,0,1,16,21,3,3
12970153,1,3,1,4,0,2,0,1,2,40,1,3
12970192,0,4,2,0,2,0,,,13,26,3,5
12970193,0,1,0,5,0,1,,,6,29,1,2
12970166,3,2,6,3,,,0,2,11,28,1,5
12970187,0,3,1,2,1,0,1,1,13,25,1,0
12970142,1,0,3,1,1,0,,,20,16,1,2
12970163,0,1,1,5,1,2,1,0,12,26,3,3
12970188,0,2,3,2,0,1,,,11,20,3,2
12970174,1,1,5,3,2,0,,,11,17,0,3
12970139,0,2,5,0,1,0,,,15,13,2,2
12970147,1,0,0,2,1,0,,,9,6,1,2
12970161,0,2,2,2,0,3,0,2,7,38,6,2
12970156,0,3,2,3,0,3,0,2,1,19,1,2
12375376,,,0,2,2,0,,,47,5,4,0
12375375,1,1,3,0,0,1,1,0,44,10,3,2
12378099,0,1,3,2,1,3,,,26,17,,
12774386,0,2,0,2,3,1,1,0,28,11,4,5
12946553,1,1,1,5,2,2,1,0,41,16,1,2
12477076,2,0,1,1,5,0,,,41,10,2,1
12477077,1,2,0,1,2,0,,,32,17,3,1
12477074,1,1,1,1,,,,,36,24,3,3
12477073,,,0,1,0,1,,,12,18,2,1
12477071,2,1,0,1,2,0,,,30,10,2,1
12477075,2,0,2,3,2,4,,,31,26,5,1
12904468,2,2,4,0,,,,,32,15,4,0
12904463,1,0,2,3,2,0,,,35,9,2,0
12904464,1,0,3,3,1,3,,,36,25,4,1
12904462,,,2,2,1,0,,,33,15,1,2
12904466,3,1,3,1,1,0,1,0,30,25,3,4
12928319,1,0,1,1,1,2,0,2,18,30,3,1
12904467,,,2,2,2,3,1,0,13,44,1,3
12904469,1,1,4,0,3,3,,,18,35,1,4
12773665,2,0,2,3,2,1,2,1,18,19,2,2
12773646,1,0,2,5,0,1,,,23,17,1,1
12773642,0,1,4,1,1,0,,,10,26,3,2
12791854,3,1,2,1,,,0,1,18,29,,
12773671,2,0,5,0,,,,,20,23,2,6
12791853,,,0,3,1,1,0,1,8,33,2,3
12773663,1,1,2,3,5,1,,,49,17,3,2
12773652,,,2,1,1,2,0,1,27,21,4,3
12773674,1,0,4,1,3,1,0,1,31,35,3,3
12773668,2,1,,,,,,,35,15,4,4
12773662,1,0,4,1,2,1,1,0,27,20,3,1
12773670,0,1,3,0,2,2,1,0,28,11,2,1
12773643,0,4,4,0,1,3,,,6,23,0,3
12773661,1,0,5,1,1,1,,,11,37,2,0
12773672,1,1,0,1,2,3,,,33,28,1,2
12773664,1,0,1,1,2,0,0,1,35,22,0,2
12924425,1,3,2,3,3,0,,,32,20,3,4
12924407,1,3,3,3,0,1,,,23,17,5,3
12924421,2,1,1,1,,,,,32,13,2,4
12924416,0,3,1,6,1,1,,,12,30,2,2
12924418,,,5,1,2,3,1,0,34,23,2,3
12924429,0,3,2,3,1,2,,,15,20,2,3
12924410,1,4,1,8,0,1,0,1,7,39,1,5
12924422,3,1,1,2,4,0,,,34,10,5,1
12924424,2,0,1,6,0,3,0,2,16,51,1,2
12924420,0,1,0,3,0,2,,,17,20,2,4
12924411,0,1,1,2,1,3,0,2,19,35,3,1
12924408,0,1,2,1,2,2,,,40,21,4,3
12924419,,,0,3,0,1,,,2,59,1,0
12924428,2,1,1,0,0,1,,,21,18,3,0
12924430,2,0,1,1,2,0,1,0,21,30,1,3
12924409,2,0,3,2,2,1,1,0,19,33,4,2
12924431,2,0,3,1,1,2,,,13,34,2,4
12924412,1,2,1,3,0,4,,,15,50,1,8
12924414,,,2,1,,,1,0,22,12,1,2
13010881,,,4,2,4,0,,,27,20,2,2
13010887,,,2,1,5,3,2,0,17,18,1,1
12527741,,,6,1,1,2,0,1,21,20,3,0
12527866,0,1,3,3,,,,,10,19,2,2
12527868,0,1,0,2,4,0,2,0,25,27,3,1
12527870,1,2,1,0,0,1,,,31,17,1,2
12527872,,,4,1,1,1,1,0,19,14,2,2
12527873,,,0,5,1,0,,,19,20,4,2
12527874,,,2,1,,,,,22,16,1,3
12527867,,,3,2,,,,,19,19,2,1
12527869,,,1,0,0,3,1,1,8,27,1,4
12527871,,,3,3,,,3,0,35,9,4,3
12451237,,,0,2,2,2,1,0,15,21,2,2
12451239,1,0,0,2,1,0,1,0,32,18,4,2
12451236,0,3,2,1,0,4,0,1,16,27,3,4
12451241,,,5,0,2,3,,,15,30,0,3
12451240,,,3,0,1,0,,,19,8,4,2
12451242,3,1,9,0,2,0,3,0,28,17,6,0
12451244,,,0,3,0,1,1,0,6,32,0,1
12451245,0,2,1,0,,,1,0,32,17,1,4
12615585,3,0,,,2,0,,,25,16,3,1
12146527,0,1,0,1,,,,,20,8,3,3
12146520,2,0,3,2,1,0,,,32,13,2,1
12988222,,,3,0,2,0,0,2,27,5,3,3
12146521,0,1,0,2,,,,,12,8,4,0
13036742,1,0,6,6,,,,,10,12,5,3
13031655,3,1,3,0,2,0,,,12,16,3,5
13011717,1,0,0,2,,,,,25,15,3,0
12902951,1,0,,,1,1,,,21,12,1,0
13036931,0,3,2,0,1,1,,,33,13,3,3
12769312,3,1,3,3,1,0,,,31,10,6,2
12902952,2,1,2,2,2,1,1,0,29,14,1,1
13015430,1,1,4,1,,,,,21,21,2,3
13015432,,,1,3,0,1,,,5,25,1,1
12744969,0,1,0,2,1,2,0,1,14,24,5,1
12004432,,,1,4,1,1,0,1,20,14,2,0
12440987,0,1,,,1,0,,,13,38,1,3
12439866,0,2,2,0,,,,,13,41,2,3
12440995,1,2,0,1,0,2,1,1,26,18,2,1
12440988,0,2,2,2,1,0,1,0,44,20,4,2
12662005,1,0,5,0,3,1,,,15,20,4,5
12662007,1,0,1,3,2,0,,,12,15,1,2
12662008,,,3,0,,,,,14,9,2,2
12662009,,,2,5,,,1,0,8,22,2,3
12662004,1,1,4,0,0,2,0,1,8,27,3,2
12662002,1,0,9,8,1,0,,,16,6,1,2
12661999,0,1,3,4,1,4,,,11,20,2,2
12504046,,,2,1,1,3,,,28,33,2,2
12503884,0,1,3,5,1,3,1,1,20,57,2,0
13037267,1,0,0,1,1,1,0,1,21,21,4,2
12503862,1,0,2,0,1,6,1,0,17,21,1,6
12503971,4,0,6,0,0,1,,,51,13,0,1
12503855,0,1,3,2,1,1,,,23,14,0,1
12680611,2,0,1,4,1,3,1,0,29,27,0,2
12503937,1,3,1,0,,,,,22,19,3,2
12503820,3,1,7,0,1,0,,,22,25,2,3
12065773,,,3,1,,,1,0,12,15,,
12065763,,,1,3,,,2,2,16,13,,
12065767,,,1,0,,,10,4,25,16,,
12961015,1,3,1,4,1,0,0,2,17,16,2,2
12735448,1,0,,,,,,,22,4,3,0
12610363,2,0,1,0,,,,,14,17,1,7
12661036,1,1,0,2,0,2,1,1,29,32,7,2
12661039,3,1,2,0,3,1,,,33,27,3,1
12940698,0,2,5,1,,,0,1,33,17,3,0
12903507,,,2,5,,,0,2,12,27,,
12903499,,,2,4,,,1,3,19,18,,
12903503,,,1,4,,,1,3,5,42,,
12903501,,,1,1,,,3,2,4,26,,
12903502,,,3,7,,,1,2,14,31,,
12903506,,,3,0,,,1,0,16,7,,
12903505,,,5,4,,,5,1,35,28,,
12868606,,,2,1,,,0,0,9,17,,
12856761,6,0,4,0,3,0,3,1,45,8,3,0
12753024,0,1,1,1,,,,,15,19,6,3
12753036,0,2,1,2,,,,,19,19,1,2
12753027,,,0,3,3,0,,,16,14,0,1
12753031,1,2,0,2,,,,,19,19,4,1
12753030,2,1,2,1,3,0,,,22,12,2,3
13008779,,,2,1,,,,,27,11,6,1
13019046,,,2,3,,,,,21,16,2,3
13029524,,,1,1,,,3,0,16,23,,
13029522,,,3,2,,,2,4,29,8,,
13036833,,,1,0,,,0,0,14,13,,
12981459,,,3,0,,,3,1,19,14,,
13023452,,,3,3,,,0,1,8,11,,
12765385,,,3,4,,,2,0,16,16,,
12522419,1,0,0,2,1,1,,,43,12,5,0
12522418,2,0,,,,,0,1,32,6,6,1
12923103,0,1,0,1,3,1,4,1,32,17,2,0
12923107,0,2,3,5,0,1,1,1,36,33,2,0
12923108,1,0,3,0,2,1,1,1,18,11,3,1
12923105,0,1,3,1,2,0,1,1,31,8,5,1
12923106,2,1,1,1,1,1,3,0,14,36,0,1
12473120,,,0,1,,,0,1,16,12,,
12473122,,,1,1,,,1,1,13,13,,
12473125,,,0,1,,,0,1,17,9,,
12767356,,,1,0,,,1,0,14,14,,
12767360,,,2,0,,,1,0,5,15,,
12767375,,,0,0,,,1,1,17,13,,
12767362,,,0,1,,,1,0,17,25,,
12767354,,,1,3,,,0,0,24,35,,
12767369,,,2,3,,,2,0,11,6,,
12767377,,,2,1,,,1,1,15,30,,
13014313,1,0,1,0,,,,,14,3,3,2
13014305,1,0,3,1,,,,,17,4,2,3
13014306,,,1,0,,,1,0,16,10,2,5
13014308,0,1,4,1,,,,,18,17,2,3
13005422,1,2,2,1,,,0,1,9,21,1,3
13005420,,,1,3,0,3,0,1,14,62,0,1
13006576,1,1,1,2,0,1,1,0,24,11,4,1
13005427,1,1,2,0,,,,,9,24,2,1
13045718,2,1,0,1,,,,,35,24,3,5
13009004,2,0,2,1,1,0,1,0,,,3,0
13006577,1,0,5,1,,,,,51,3,4,1
