match_id,home_total_saves,away_total_saves,home_goal_kicks,away_goal_kicks,home_goals_prevented,away_goals_prevented,home_high_claims,away_high_claims,home_big_saves,away_big_saves,home_punches,away_punches
12437045,1,5,8,7,0.17,-0.05,1,2,,,,
12437046,3,5,9,12,0.44,0.52,2,1,,,,
12437050,4,1,7,6,1.00,0.04,1,1,,,,
12437040,2,1,6,9,-0.19,-0.26,,,,,,
12437618,5,1,8,2,1.43,-0.76,,,,,,
12437607,0,4,5,11,-0.01,0.87,,,,,,
12437613,3,3,3,18,0.30,-0.92,,,,,,
12437625,2,9,6,13,-0.26,1.30,,,,,,
12437611,1,1,18,1,0.07,0.28,1,2,,,,
12499340,2,2,5,12,0.13,-0.22,,,,,,
12499341,,,3,11,-1.00,-1.46,,,,,,
12499339,1,5,5,6,-1.54,-0.45,,,1,1,,
12499338,4,6,3,9,-0.29,-0.44,,,,,,
12499737,5,1,9,3,-1.12,0.06,,,,,,
12499734,4,3,3,14,0.79,0.42,,,,,,
12499720,4,3,7,14,0.83,1.06,,,,,,
12451054,3,7,6,7,0.19,0.37,,,1,2,,
12451055,3,2,7,10,-0.75,0.13,,,,,,
12451051,4,7,3,9,-0.66,1.78,,,,,,
12451056,5,2,3,4,0.41,-0.09,,,1,2,,
12451053,6,1,13,5,-0.87,0.09,,,,,,
12514052,2,4,4,11,0.26,1.13,,,,,,
12514051,0,8,4,9,0.00,-1.03,,,,,,
12514055,1,0,7,7,-0.31,-0.21,,,,,,
12514057,2,1,6,4,-1.52,0.13,,,,,,
12448395,1,5,2,14,0.17,-1.69,,,,,,
12448396,2,5,5,9,0.22,0.49,,,,,,
12448394,1,4,7,8,-0.47,0.02,1,1,,,,
12117282,2,5,4,6,-0.09,0.89,,,,,,
12117278,5,5,7,3,0.44,-0.05,2,1,,,1,1
12530882,1,1,7,12,-0.29,-0.18,,,,,,
12530878,1,3,6,13,0.02,-0.56,,,,,,
12530874,3,4,5,5,-0.32,0.76,1,2,,,,
12530880,1,4,6,10,-0.04,0.26,1,2,,,,
12421106,1,7,8,12,-0.07,1.13,,,,,,
12421110,3,2,4,8,0.46,0.38,,,1,1,,
12421108,1,0,8,5,-0.24,0.00,,,,,,
12421107,1,5,5,7,-0.03,-0.23,2,1,,,,
12568248,5,2,18,6,,,,,,,,
12568249,0,4,8,6,,,,,,,,
12568234,3,5,8,7,,,,,,,1,1
12568235,4,3,12,7,,,,,,,,
12477081,1,5,13,5,,,,,,,,
12477080,6,2,10,4,,,,,,,1,1
12477079,2,5,8,6,,,1,2,,,,
11937370,5,1,9,9,0.23,-0.73,,,,,1,1
11937373,1,2,7,7,0.21,-0.29,,,,,,
11937368,4,9,1,16,0.69,1.86,,,,,,
11937367,0,4,8,16,0.00,-0.01,,,,,,
11937369,2,4,6,9,-0.57,0.77,1,2,,,,
11937364,2,1,7,15,-1.92,-0.61,2,1,,,,
11937363,3,4,5,4,0.31,0.95,,,,,,
12420572,5,6,7,8,,,1,3,1,1,,
12420577,2,7,6,5,,,,,,,1,1
12420575,3,4,13,10,,,,,,,,
12404865,1,4,4,5,,,,,,,,
12404864,2,2,13,5,,,,,,,,
12420443,2,3,8,3,,,,,1,1,,
12420434,0,5,3,14,,,1,2,,,,
13010882,2,4,6,8,1.27,-0.58,,,,,,
13022403,3,2,8,8,0.23,-0.97,,,,,,
13010885,2,6,8,10,0.16,2.60,,,,,,
13010890,0,2,7,12,0.00,0.44,,,,,,
12468905,5,1,5,9,1.10,-2.05,,,,,,
12467660,4,4,7,5,,,1,2,,,,
12467662,4,2,4,11,,,,,1,1,,
12467655,3,7,2,3,,,,,,,,
12617262,3,7,3,8,,,,,,,,
12467661,3,1,20,6,,,,,,,,
12467658,6,4,4,9,,,1,3,,,,
12467664,4,3,8,7,,,2,1,1,1,1,1
12500376,2,6,5,10,,,,,1,2,,
12500363,3,4,3,11,,,1,1,,,,
12500379,3,1,2,7,,,2,2,,,,
12527732,1,3,14,3,,,3,2,,,,
12527736,4,3,15,8,,,,,,,,
12527738,5,6,5,8,,,3,2,1,2,,
12146528,2,3,12,10,,,,,,,,
12146523,2,2,10,9,,,,,,,,
12146524,0,2,11,8,,,,,,,,
12445047,5,7,6,7,,,1,1,1,1,,
12596621,0,4,7,11,,,,,,,,
12596615,1,2,4,8,,,1,1,,,,
12596618,2,4,6,8,,,,,,,2,1
12596617,1,5,4,10,,,1,4,1,2,,
12481094,3,1,5,4,,,,,,,,
12481098,4,1,6,4,,,,,,,,
12481103,2,2,7,6,,,,,,,,
12463967,4,1,19,10,,,,,,,,
12463970,4,2,6,10,,,,,,,,
13012918,1,8,1,9,,,,,,,,
13011712,2,3,7,8,,,,,,,,
13011728,3,3,7,7,,,,,,,1,1
13011718,6,1,10,4,,,,,,,,
12580708,1,4,7,9,,,,,,,,
12580604,6,5,15,12,,,,,,,,
12580707,1,3,6,12,,,,,,,,
12580607,1,3,10,9,,,,,,,1,1
12402296,6,2,9,5,,,,,1,1,,
12402294,1,4,8,10,,,,,,,,
12402304,2,4,3,11,,,,,,,,
12407828,3,2,7,8,,,1,1,,,1,2
12407829,2,2,9,4,,,,,,,,
12407826,3,2,9,8,,,,,,,,
12407827,3,6,5,5,,,,,1,1,,
12656652,3,3,6,12,,,1,1,,,,
12991466,1,0,10,4,,,,,,,,
12991503,1,5,9,9,,,,,,,,
12014196,1,4,8,8,,,,,,,,
12014204,1,4,8,10,,,,,,,,
12014199,1,9,3,12,,,,,,,,
12014195,2,1,5,3,,,,,,,,
12744968,1,3,8,13,,,,,,,,
11928436,1,2,12,5,,,,,,,,
13016164,4,5,6,9,,,1,1,,,,
13016167,0,6,6,16,,,,,,,,
11912251,3,0,6,13,,,2,2,,,,
11912259,2,7,9,3,,,,,,,,
11912260,4,6,6,9,,,,,,,1,3
11912233,2,2,6,5,,,1,3,,,,
11912235,4,2,15,11,,,,,2,1,,
11912258,3,3,8,11,,,,,,,,
11912257,1,5,6,11,,,,,,,,
12831490,3,2,13,6,,,,,,,,
12831480,3,1,3,3,,,,,,,,
12831494,5,3,9,18,,,,,,,,
12831492,1,4,7,18,,,,,,,,
12831481,2,5,4,7,,,,,,,,
12831498,4,2,12,11,,,,,,,,
12831500,1,3,7,16,,,,,,,,
12489710,2,0,7,14,,,,,,,,
12489715,3,5,3,17,,,,,,,,
12489714,4,1,12,5,,,,,,,,
12489713,5,1,12,5,,,,,,,,
11907444,1,3,7,5,,,,,,,,
11907450,0,4,2,9,,,,,,,,
11907447,1,4,10,12,,,,,1,1,,
11907445,6,2,8,8,,,,,1,1,,
11907446,0,4,7,9,,,,,,,,
12439860,1,1,8,8,,,,,,,,
12439861,4,1,11,3,,,,,,,,
12439858,4,1,8,9,,,,,,,,
12662014,0,3,5,8,,,,,,,,
12662012,0,2,5,11,,,,,,,,
13022369,0,5,7,8,,,,,,,,
13008825,3,5,7,8,,,,,,,,
12453008,4,2,9,9,,,,,,,,
12453110,3,4,6,6,,,,,,,,
12453112,4,3,5,3,,,,,,,,
12065761,3,5,6,9,,,,,,,,
12065762,4,4,6,6,,,,,,,,
12065760,0,5,5,12,,,,,,,,
12776232,8,6,11,4,,,,,,,1,1
12773388,2,5,12,3,,,,,,,,
12773385,2,6,12,9,,,,,1,2,,
12497536,0,2,8,10,,,3,1,,,,
12765324,4,1,17,5,,,,,,,,
12765325,2,2,7,9,,,,,,,,
12448681,1,1,11,9,,,,,,,,
12448692,4,4,13,12,,,1,3,,,,
13011670,3,4,8,5,,,,,,,,
12448762,1,2,2,13,,,,,,,,
12448764,5,3,7,12,,,,,,,,
12448767,3,1,9,5,,,,,,,,
12449217,9,4,11,11,,,,,1,2,,
12449215,4,4,8,9,,,1,2,,,,
11973094,2,1,11,11,,,,,,,,
11973085,3,2,8,9,,,,,,,,
11973088,3,6,8,13,,,,,,,,
11973103,3,6,6,12,,,,,,,,
11973090,3,1,8,7,,,1,1,,,,
11973091,5,3,6,7,,,,,,,,
11973086,2,3,5,12,,,1,1,,,,
11973093,0,0,5,13,,,,,,,,
11973087,2,1,6,14,,,,,,,,
11973092,5,3,15,14,,,,,,,,
12586168,2,2,4,4,,,,,,,,
12586173,3,6,3,16,,,,,,,,
12753021,4,6,6,14,,,,,,,,
12753032,4,1,3,8,,,1,2,,,,
12753017,0,7,6,14,,,,,,,,
12753012,3,5,4,13,,,,,,,,
13019034,2,3,2,9,,,,,,,,
13019043,6,4,8,5,,,,,,,,
12425088,2,3,7,3,,,,,,,,
13029521,2,6,8,8,,,,,,,,
13041742,0,3,7,3,,,,,,,,
12447865,1,3,15,5,,,,,,,,
12447858,4,1,7,8,,,1,1,,,,
12497309,2,3,3,9,,,1,1,,,,
12497312,4,2,4,2,,,,,,,,
12497319,2,1,15,4,,,2,1,,,,
12497311,8,0,8,5,,,,,,,,
12497305,2,2,6,6,,,,,,,,
12451610,2,5,10,0,,,,,,,,
12442027,3,4,4,2,,,,,,,,
12463379,2,3,1,10,,,,,,,,
11990387,7,7,3,4,,,,,,,,
13008765,0,8,3,15,,,,,,,,
11989125,4,4,8,4,,,,,,,,
11989123,3,0,12,3,,,,,,,,
11989126,2,2,7,9,,,,,,,,
12525926,6,2,6,3,,,,,,,,
12525929,2,3,6,2,,,,,,,,
12525932,5,3,3,9,,,,,,,,
12868396,4,2,5,4,,,,,,,,
12650996,7,4,12,13,,,,,,,,
12651004,2,0,1,9,,,,,,,,
12598357,1,9,1,7,,,,,,,,
12598360,5,4,7,4,,,,,,,,
12598355,6,1,5,1,,,,,,,,
12177173,1,1,11,5,,,,,,,,
12177177,4,4,6,12,,,,,,,,
12085473,2,5,5,8,,,,,,,,
12085469,2,0,12,1,,,,,,,,
12444644,1,4,8,8,,,,,,,,
12444645,3,0,7,8,,,,,,,,
12444663,1,3,8,14,,,,,,,,
12963363,2,4,6,3,,,,,,,,
12963291,1,4,8,7,,,,,,,,
12590279,2,2,10,5,,,,,,,,
12590273,5,1,18,8,,,,,,,,
12531981,8,2,11,2,,,1,2,,,,
12531969,1,8,7,7,,,,,,,,
12969196,3,2,12,5,,,,,,,,
12472158,2,2,10,5,,,,,,,,
12448838,2,3,7,5,,,,,,,,
12448841,3,2,8,7,,,,,,,,
12448840,1,2,7,14,,,,,,,,
12518422,6,3,4,8,,,3,1,,,1,1
12518425,6,2,9,6,,,,,,,,
12518416,0,3,7,9,,,,,,,,
13019039,5,4,6,9,,,2,1,,,,
12923109,1,3,3,11,,,,,,,,
12923104,3,2,12,7,,,,,,,,
12246983,7,6,14,0,,,,,,,,
12246985,1,3,2,13,,,,,,,,
12484257,1,2,13,5,,,,,,,,
12484258,3,1,3,10,,,,,,,,
12484255,1,5,3,6,,,,,,,,
12196916,2,2,11,2,,,,,,,,
12196973,0,2,9,13,,,2,1,,,,
12199061,4,2,10,10,,,,,,,,
12442133,0,4,3,2,,,,,,,,
12442134,1,7,5,4,,,,,,,,
12484433,1,6,5,2,,,,,,,,
12484437,5,1,2,6,,,,,,,,
13014309,3,3,6,9,,,,,,,5,1
13014303,0,1,9,7,,,3,2,,,,
12694137,1,1,6,6,,,,,,,,
12694134,2,6,0,5,,,,,,,,
12698547,4,3,9,12,,,,,,,,
12454752,7,1,13,2,,,3,1,,,,
12454757,5,4,7,13,,,2,1,,,,
12650088,2,2,2,7,,,1,3,,,,
13023005,4,4,17,10,,,,,,,,
13006575,3,5,1,10,,,,,1,2,1,1
12437611,1,1,18,1,0.07,0.28,1,2,,,,
12499348,2,3,6,6,-0.88,0.43,1,1,1,1,,
12499354,1,5,7,7,0.04,1.04,,,,,,
12499355,2,5,5,12,-0.62,0.83,,,,,,
12900855,2,6,9,6,,,,,,,1,1
12970179,4,2,18,7,,,,,,,,
12970160,1,0,11,9,,,,,,,2,1
12970153,6,1,10,1,,,,,,,,
12970192,2,1,8,2,,,,,,,,
12970193,4,4,11,1,,,,,,,,
12970166,2,0,8,2,,,,,,,,
12970187,4,2,7,1,,,,,,,,
12375376,3,6,3,13,0.37,1.82,,,1,2,,
12514057,2,1,6,4,-1.52,0.13,,,,,,
12117282,2,5,4,6,-0.09,0.89,,,,,,
12117278,5,5,7,3,0.44,-0.05,2,1,,,1,1
12530874,3,4,5,5,-0.32,0.76,1,2,,,,
12530880,1,4,6,10,-0.04,0.26,1,2,,,,
12904468,0,2,2,10,,,,,,,,
12904463,4,4,6,15,,,,,,,,
12773665,4,4,7,3,,,,,,,,
12773646,1,0,3,7,,,,,,,,
12773642,1,6,12,5,,,,,,,,
12791854,2,3,9,3,,,1,1,,,,
12773671,3,3,10,3,,,,,,,,
12791853,5,3,6,7,,,3,1,,,,
12773663,0,5,6,9,,,,,,,,
12773652,4,2,10,14,,,1,1,,,,
12924425,2,6,8,14,,,,,,,,
12924407,3,6,8,6,,,,,,,1,1
12924421,1,6,5,8,,,,,,,,
12924416,2,1,7,6,,,,,,,,
12924418,1,1,10,12,,,,,,,,
12924429,5,4,5,3,,,1,2,,,,
12924410,3,3,14,4,,,,,,,1,1
12924422,2,4,6,7,,,,,,,,
12924424,8,2,5,6,,,,,,,,
12924420,8,2,11,7,,,,,2,1,,
11937364,2,1,7,15,-1.92,-0.61,2,1,,,,
11937363,3,4,5,4,0.31,0.95,,,,,,
13010885,2,6,8,10,0.16,2.60,,,,,,
13010890,0,2,7,12,0.00,0.44,,,,,,
13010881,2,8,7,8,0.42,0.67,,,,,,
13010887,6,6,9,7,1.68,1.56,,,,,,
12467664,4,3,8,7,,,2,1,1,1,1,1
12527741,5,5,3,6,,,1,2,,,,
12527866,1,2,10,7,,,,,,,,
12527868,1,4,6,12,,,1,1,,,1,1
12527870,1,6,7,5,,,,,,,,
12527872,1,2,6,10,,,1,2,,,,
12527873,0,2,5,9,,,,,,,,
12451237,4,3,10,8,,,2,2,,,1,1
12451239,2,3,5,11,,,,,,,,
12451236,3,1,11,9,,,,,,,,
12451241,6,2,11,2,,,,,,,,
12451240,4,3,2,9,,,1,1,,,,
12451242,2,1,7,2,,,1,1,,,,
12451244,1,1,11,2,,,2,1,,,,
12451245,2,3,6,10,,,1,3,,,,
12615585,2,7,7,7,,,,,1,4,,
12146528,2,3,12,10,,,,,,,,
12146523,2,2,10,9,,,,,,,,
12146524,0,2,11,8,,,,,,,,
12146527,2,4,6,15,,,,,,,,
12146520,2,7,10,12,,,,,,,,
12988222,1,7,8,7,,,,,,,1,1
12146521,2,5,4,7,,,,,,,,
12596617,1,5,4,10,,,1,4,1,2,,
12463967,4,1,19,10,,,,,,,,
12463970,4,2,6,10,,,,,,,,
13012918,1,8,1,9,,,,,,,,
13036742,1,1,8,5,,,,,,,,
13031655,2,1,11,12,,,,,,,,
13011717,2,3,12,12,,,1,1,,,,
12407827,3,6,5,5,,,,,1,1,,
12656652,3,3,6,12,,,1,1,,,,
12902951,2,2,5,13,,,,,,,,
13036931,2,4,4,6,,,,,,,,
12769312,0,5,4,8,,,,,,,,
12902952,1,2,7,9,,,,,,,,
12991503,1,5,9,9,,,,,,,,
12014195,2,1,5,3,,,,,,,,
13016164,4,5,6,9,,,1,1,,,,
13016167,0,6,6,16,,,,,,,,
12004432,3,2,5,10,,,,,,,,
11912257,1,5,6,11,,,,,,,,
12831481,2,5,4,7,,,,,,,,
12831498,4,2,12,11,,,,,,,,
12831500,1,3,7,16,,,,,,,,
12489714,4,1,12,5,,,,,,,,
12489713,5,1,12,5,,,,,,,,
11907445,6,2,8,8,,,,,1,1,,
11907446,0,4,7,9,,,,,,,,
12440987,7,1,7,7,,,,,,,,
12662005,2,1,11,7,,,,,,,,
12662007,2,5,10,10,,,,,,,,
12662008,2,1,10,6,,,,,,,,
12453112,4,3,5,3,,,,,,,,
12504046,2,2,10,16,,,,,,,,
12503884,5,2,11,8,,,,,,,,
13037267,2,4,6,4,,,,,,,,
12503862,6,3,9,5,,,,,,,,
12503971,3,6,3,13,,,,,,,,
12503855,2,2,7,6,,,,,,,1,1
12680611,7,5,6,9,,,,,,,,
12503937,2,0,8,8,,,,,,,,
12503820,3,2,4,8,,,,,,,,
12065761,3,5,6,9,,,,,,,,
12065762,4,4,6,6,,,,,,,,
12065760,0,5,5,12,,,,,,,,
12065773,5,1,5,5,,,,,,,,
12065763,3,3,7,8,,,,,,,,
12065767,3,6,9,10,,,,,,,,
12735448,1,3,4,6,,,,,,,,
12610363,1,0,7,7,,,,,,,,
12940698,3,1,4,9,,,1,1,,,,
12903507,4,3,5,3,,,,,,,,
12868606,3,1,10,1,,,1,1,,,,
12753012,3,5,4,13,,,,,,,,
12753024,6,6,5,9,,,,,,,,
12753036,6,9,12,6,,,,,,,,
13019043,6,4,8,5,,,,,,,,
12425088,2,3,7,3,,,,,,,,
13008779,2,1,8,18,,,1,1,,,,
13019046,5,2,9,8,,,,,,,1,1
13029521,2,6,8,8,,,,,,,,
13041742,0,3,7,3,,,,,,,,
12497319,2,1,15,4,,,2,1,,,,
12497311,8,0,8,5,,,,,,,,
12497305,2,2,6,6,,,,,,,,
11989123,3,0,12,3,,,,,,,,
11989126,2,2,7,9,,,,,,,,
12651004,2,0,1,9,,,,,,,,
12598355,6,1,5,1,,,,,,,,
12085469,2,0,12,1,,,,,,,,
12963291,1,4,8,7,,,,,,,,
13023452,4,1,5,1,,,,,,,,
12448840,1,2,7,14,,,,,,,,
12518416,0,3,7,9,,,,,,,,
12522419,4,3,5,17,,,,,1,2,,
13019039,5,4,6,9,,,2,1,,,,
12923109,1,3,3,11,,,,,,,,
12923104,3,2,12,7,,,,,,,,
12923103,4,4,4,9,,,,,,,,
12923107,5,3,3,11,,,,,,,,
12923108,4,2,6,10,,,,,,,1,3
12923105,3,5,5,11,,,,,,,,
12473120,4,5,7,11,,,3,1,,,,
12473122,3,3,5,14,,,1,1,,,,
12473125,3,3,4,9,,,,,,,,
12246985,1,3,2,13,,,,,,,,
12199061,4,2,10,10,,,,,,,,
12767356,1,4,7,8,,,,,,,,
12767360,5,1,10,3,,,,,,,,
12767375,4,4,7,1,,,,,,,,
12767362,3,4,10,6,,,,,,,,
12767354,5,6,9,10,,,,,,,,
13014313,1,3,3,8,,,,,,,,
13014305,3,5,3,12,,,,,,,,
13023005,4,4,17,10,,,,,,,,
13006575,3,5,1,10,,,,,1,2,1,1
13005422,,,11,3,,,,,,,,
13005420,5,1,16,5,,,,,,,,
13006576,2,2,3,6,,,1,1,,,,
13005427,1,1,16,4,,,,,,,,
13045718,2,8,5,8,,,,,,,,
13009004,1,7,0,26,,,,,,,,
12499348,2,3,6,6,-0.88,0.43,1,1,1,1,,
12499354,1,5,7,7,0.04,1.04,,,,,,
12499355,2,5,5,12,-0.62,0.83,,,,,,
12499350,3,1,9,2,-0.92,0.08,,,,,,
12499357,3,4,11,9,-0.92,0.65,,,1,1,,
12499347,3,3,3,12,0.13,-0.67,,,2,1,,
12499353,3,2,7,16,-1.13,0.23,,,,,,
12900855,2,6,9,6,,,,,,,1,1
12970179,4,2,18,7,,,,,,,,
12970160,1,0,11,9,,,,,,,2,1
12970153,6,1,10,1,,,,,,,,
12970192,2,1,8,2,,,,,,,,
12970193,4,4,11,1,,,,,,,,
12970166,2,0,8,2,,,,,,,,
12970187,4,2,7,1,,,,,,,,
12970142,2,8,4,10,,,,,,,,
12970163,5,1,14,7,,,1,1,,,,
12970188,2,2,8,5,,,,,,,,
12970174,7,4,8,3,,,,,1,2,,
12970139,5,6,7,7,,,,,,,,
12970147,3,0,10,5,,,,,,,,
12970161,1,0,11,9,,,,,,,,
12970156,3,1,7,1,,,,,,,,
12375376,3,6,3,13,0.37,1.82,,,1,2,,
12375375,2,2,4,22,1.10,-1.14,1,4,,,,
12378099,2,4,11,16,,,,,1,1,,
12774386,2,2,3,13,-0.16,0.49,1,2,,,,
12946553,2,3,6,10,0.35,0.52,,,,,,
12477076,1,3,5,16,,,,,1,1,,
12477077,1,3,10,9,,,1,2,,,,
12477074,2,4,8,7,,,,,,,,
12477073,2,2,14,11,,,,,,,,
12477071,1,2,7,7,,,,,,,,
12477075,3,4,9,6,,,,,,,,
12904468,0,2,2,10,,,,,,,,
12904463,4,4,6,15,,,,,,,,
12904464,4,5,7,8,,,,,,,,
12904462,0,8,13,6,,,2,1,,,,
12904466,5,4,7,9,,,,,2,1,,
12928319,4,1,7,7,,,,,,,,
12904467,6,2,7,2,,,,,,,,
12904469,1,5,14,4,,,,,,,,
12773665,4,4,7,3,,,,,,,,
12773646,1,0,3,7,,,,,,,,
12773642,1,6,12,5,,,,,,,,
12791854,2,3,9,3,,,1,1,,,,
12773671,3,3,10,3,,,,,,,,
12791853,5,3,6,7,,,3,1,,,,
12773663,0,5,6,9,,,,,,,,
12773652,4,2,10,14,,,1,1,,,,
12773674,2,4,13,4,,,,,,,,
12773668,0,3,7,4,,,,,,,,
12773662,3,4,5,6,,,,,,,,
12773670,2,6,6,9,,,,,,,,
12773643,6,4,3,0,,,,,,,,
12773661,5,1,11,7,,,,,,,,
12773672,4,6,8,16,,,,,1,3,,
12773664,4,8,8,8,,,,,2,5,1,1
12924425,2,6,8,14,,,,,,,,
12924407,3,6,8,6,,,,,,,1,1
12924421,1,6,5,8,,,,,,,,
12924416,2,1,7,6,,,,,,,,
12924418,1,1,10,12,,,,,,,,
12924429,5,4,5,3,,,1,2,,,,
12924410,3,3,14,4,,,,,,,1,1
12924422,2,4,6,7,,,,,,,,
12924424,8,2,5,6,,,,,,,,
12924420,8,2,11,7,,,,,2,1,,
12924411,5,3,13,3,,,1,2,2,1,,
12924408,10,4,9,17,,,1,1,2,1,,
12924419,7,0,21,3,,,,,,,,
12924428,3,3,7,4,,,,,,,,
12924430,4,2,9,3,,,,,,,,
12924409,6,6,9,8,,,,,,,,
12924431,7,2,9,5,,,,,,,,
12924412,7,1,20,8,,,3,1,,,,
12924414,0,4,6,14,,,4,2,,,,
13010881,2,8,7,8,0.42,0.67,,,,,,
13010887,6,6,9,7,1.68,1.56,,,,,,
12527741,5,5,3,6,,,1,2,,,,
12527866,1,2,10,7,,,,,,,,
12527868,1,4,6,12,,,1,1,,,1,1
12527870,1,6,7,5,,,,,,,,
12527872,1,2,6,10,,,1,2,,,,
12527873,0,2,5,9,,,,,,,,
12527874,2,4,10,10,,,,,1,2,,
12527867,1,1,9,8,,,,,,,,
12527869,4,1,9,4,,,,,,,,
12527871,3,1,4,12,,,,,,,,
12451237,4,3,10,8,,,2,2,,,1,1
12451239,2,3,5,11,,,,,,,,
12451236,3,1,11,9,,,,,,,,
12451241,6,2,11,2,,,,,,,,
12451240,4,3,2,9,,,1,1,,,,
12451242,2,1,7,2,,,1,1,,,,
12451244,1,1,11,2,,,2,1,,,,
12451245,2,3,6,10,,,1,3,,,,
12615585,2,7,7,7,,,,,1,4,,
12146527,2,4,6,15,,,,,,,,
12146520,2,7,10,12,,,,,,,,
12988222,1,7,8,7,,,,,,,1,1
12146521,2,5,4,7,,,,,,,,
13036742,1,1,8,5,,,,,,,,
13031655,2,1,11,12,,,,,,,,
13011717,2,3,12,12,,,1,1,,,,
12902951,2,2,5,13,,,,,,,,
13036931,2,4,4,6,,,,,,,,
12769312,0,5,4,8,,,,,,,,
12902952,1,2,7,9,,,,,,,,
13015430,2,0,9,7,,,1,2,,,,
13015432,1,1,6,4,,,1,4,,,,
12744969,1,1,11,12,,,,,,,,
12004432,3,2,5,10,,,,,,,,
12440987,7,1,7,7,,,,,,,,
12439866,7,3,13,5,,,,,3,2,,
12440995,4,4,3,7,,,,,,,,
12440988,4,7,4,15,,,,,1,3,,
12662005,2,1,11,7,,,,,,,,
12662007,2,5,10,10,,,,,,,,
12662008,2,1,10,6,,,,,,,,
12662009,2,2,8,8,,,,,,,,
12662004,7,0,19,5,,,,,,,,
12662002,2,0,6,13,,,,,,,,
12661999,4,2,10,6,,,,,,,,
12504046,2,2,10,16,,,,,,,,
12503884,5,2,11,8,,,,,,,,
13037267,2,4,6,4,,,,,,,,
12503862,6,3,9,5,,,,,,,,
12503971,3,6,3,13,,,,,,,,
12503855,2,2,7,6,,,,,,,1,1
12680611,7,5,6,9,,,,,,,,
12503937,2,0,8,8,,,,,,,,
12503820,3,2,4,8,,,,,,,,
12065773,5,1,5,5,,,,,,,,
12065763,3,3,7,8,,,,,,,,
12065767,3,6,9,10,,,,,,,,
12961015,1,1,6,4,,,,,,,,
12735448,1,3,4,6,,,,,,,,
12610363,1,0,7,7,,,,,,,,
12661036,7,4,9,10,,,,,,,,
12661039,1,6,10,9,,,3,1,,,1,2
12940698,3,1,4,9,,,1,1,,,,
12903507,4,3,5,3,,,,,,,,
12903499,0,5,4,5,,,,,,,,
12903503,4,3,10,0,,,,,,,,
12903501,6,0,10,3,,,1,1,,,,
12903502,7,1,10,7,,,,,,,,
12903506,2,2,3,7,,,,,,,,
12903505,5,5,4,13,,,,,,,,
12868606,3,1,10,1,,,1,1,,,,
12856761,2,4,4,11,,,,,,,,
12753024,6,6,5,9,,,,,,,,
12753036,6,9,12,6,,,,,,,,
12753027,4,4,11,11,,,,,,,,
12753031,3,2,7,7,,,,,,,1,1
12753030,1,1,7,10,,,,,,,,
13008779,2,1,8,18,,,1,1,,,,
13019046,5,2,9,8,,,,,,,1,1
13029524,5,8,10,10,,,,,,,,
13029522,1,6,6,10,,,,,,,,
13036833,1,2,5,4,,,,,,,,
12981459,3,3,7,13,,,,,,,,
13023452,4,1,5,1,,,,,,,,
12765385,1,4,6,4,,,,,,,,
12522419,4,3,5,17,,,,,1,2,,
12522418,1,5,6,15,,,,,,,,
12923103,4,4,4,9,,,,,,,,
12923107,5,3,3,11,,,,,,,,
12923108,4,2,6,10,,,,,,,1,3
12923105,3,5,5,11,,,,,,,,
12923106,2,2,11,7,,,,,,,,
12473120,4,5,7,11,,,3,1,,,,
12473122,3,3,5,14,,,1,1,,,,
12473125,3,3,4,9,,,,,,,,
12767356,1,4,7,8,,,,,,,,
12767360,5,1,10,3,,,,,,,,
12767375,4,4,7,1,,,,,,,,
12767362,3,4,10,6,,,,,,,,
12767354,5,6,9,10,,,,,,,,
12767369,2,1,2,2,,,,,,,,
12767377,4,2,9,3,,,,,,,,
13014313,1,3,3,8,,,,,,,,
13014305,3,5,3,12,,,,,,,,
13014306,3,2,2,12,,,1,1,,,,
13014308,2,2,5,9,,,,,,,,
13005422,,,11,3,,,,,,,,
13005420,5,1,16,5,,,,,,,,
13006576,2,2,3,6,,,1,1,,,,
13005427,1,1,16,4,,,,,,,,
13045718,2,8,5,8,,,,,,,,
13009004,1,7,0,26,,,,,,,,
13006577,1,4,2,12,,,,,,,,
